,T_a_in,x_a_in,m_a_in,T_d_in,xi_d_in,x_d_in_equ,m_d_in,T_a_o_exp,T_d_o_exp,x_a_o_exp,Re,Pr,Sc,Nu,Sh,Sh_2,Nu_2,T_a_o_sim_reg,x_a_o_sim_reg,T_d_o_sim_reg,xi_d_o_sim_reg,Nu_read,Sh_read,xi_d_out_cal,x_d_in_equ_cal,Re_cal,Pr_cal,Sc_cal
1,298.75,0.0162,1.85,288.05,0.23,0.007228126,2.61,292.35,294.45,0.0091,996.6987537,0.723821824,0.616834876,3.662364069,3.25129132,3.29069971,3.638111864,292.1831055,0.009063093,293.4119568,0.228847787,3.63811183,3.29069972,0.228848306,0.006410545,996.6987537,0.723821824,0.616834876
10,297.15,0.0152,1.94,289.95,0.2961,0.006048815,2.82,293.25,296.25,0.0075,1048.989749,0.722987233,0.61651929,4.363029332,3.33400738,3.382747586,4.58518065,293.1435242,0.007454731,295.2950745,0.294543058,4.585180759,3.38274765,0.294539775,0.005028263,1048.989749,0.722987233,0.61651929
11,297.35,0.016,1.98,290.85,0.3007,0.006254409,2.85,294.05,297.05,0.0077,1070.471776,0.723793148,0.616602872,5.023987834,3.700249284,3.465241286,4.79787484,294.0139465,0.00774887,296.4089966,0.299000829,4.797874928,3.465241194,0.29897601,0.00517188,1070.471776,0.723793148,0.616602872
12,298.25,0.0152,1.94,291.25,0.3052,0.006259191,2.9,294.45,297.25,0.0075,1046.027445,0.722846252,0.616694294,4.487529029,3.472545715,3.602111857,4.269137942,294.4629822,0.007350083,296.5160828,0.303618729,4.269137859,3.602111816,0.303635961,0.005146258,1046.027445,0.722846252,0.616694294
13,298.35,0.0143,1.95,290.95,0.3182,0.005690291,2.85,294.25,297.05,0.0069,1050.698532,0.721899643,0.616653579,4.655537495,3.399286347,3.410024681,4.7378397,294.1192322,0.006822914,296.3125916,0.316593289,4.737839699,3.410024643,0.316597019,0.004590221,1050.698532,0.721899643,0.616653579
14,299.05,0.0159,1.99,292.35,0.3215,0.0061058,2.86,295.75,298.95,0.0077,1071.149531,0.723471799,0.616863137,4.614009483,3.20514347,3.39678602,5.005917266,295.5953064,0.007539921,298.1611938,0.319657296,5.005917072,3.396785975,0.319676058,0.004911662,1071.149531,0.723471799,0.616863137
15,298.75,0.0143,1.93,291.55,0.3312,0.005457791,2.88,294.75,297.65,0.0066,1038.855687,0.72184892,0.616717394,4.864908405,3.441416739,3.233455929,4.783375332,294.6795044,0.006669078,296.9408569,0.329528987,4.783375263,3.233455896,0.329499758,0.004321746,1038.855687,0.72184892,0.616717394
2,301.75,0.0202,1.87,291.35,0.24,0.008620891,2.63,296.05,298.35,0.0116,1001.761856,0.727613738,0.617513502,3.501961167,2.829393238,3.163702379,3.626108206,295.8634033,0.011241448,297.6291199,0.238490179,3.62610817,3.163702488,0.23854136,0.00759668,1001.761856,0.727613738,0.617513502
3,300.65,0.0181,1.92,290.85,0.255,0.007838149,2.65,295.05,297.45,0.0099,1030.361472,0.725559828,0.617236333,4.19051388,3.374699148,3.396424701,4.0283197,294.9651184,0.009869795,296.8956299,0.253497869,4.028319836,3.39642477,0.253493959,0.006824431,1030.361472,0.725559828,0.617236333
4,303.15,0.0177,1.89,292.05,0.26,0.008283544,2.66,296.65,298.95,0.0097,1007.69959,0.724833054,0.617582031,3.433981072,3.93449155,3.659861465,3.526373428,296.6118774,0.009846452,298.0095825,0.258564919,3.526373386,3.659861565,0.258530458,0.007183032,1007.69959,0.724833054,0.617582031
5,300.75,0.0164,1.92,290.45,0.27,0.007133317,2.67,294.75,296.85,0.0087,1029.256643,0.72377762,0.617153987,4.047396555,3.497128896,3.408156384,4.108022927,294.5125427,0.008787988,296.3324585,0.26853925,4.10802269,3.408156395,0.268513221,0.00612043,1029.256643,0.72377762,0.617153987
6,294.85,0.0108,2.04,282.65,0.2513,0.004610656,2.93,287.25,287.75,0.0057,1107.370581,0.718730525,0.615836661,3.40750018,3.612993557,3.65673529,3.525488663,287.1288757,0.005665092,287.202179,0.250408798,3.525488615,3.656735182,0.250410828,0.004016878,1107.370581,0.718730525,0.615836661
7,295.85,0.0153,1.97,285.75,0.26,0.005476786,2.76,289.65,291.75,0.0077,1068.844723,0.723259736,0.616316714,4.593168847,3.077390315,2.869842336,4.557745027,289.5630188,0.007878498,291.4151001,0.258639365,4.55774498,2.869842291,0.258597204,0.004736817,1068.844723,0.723259736,0.616316714
8,297.85,0.0153,1.96,288.65,0.27,0.006341164,2.77,292.35,294.75,0.008,1057.947246,0.723001218,0.616637246,4.516467373,3.335800675,3.442780436,4.300400608,292.323822,0.007916415,294.1353149,0.268606186,4.300400734,3.442780495,0.268612524,0.005435326,1057.947246,0.723001218,0.616637246
9,296.45,0.0143,1.99,287.85,0.285,0.005585838,2.8,291.25,293.45,0.0072,1077.514382,0.722143197,0.61634693,4.897879955,3.24534758,3.33000771,4.778175902,291.2366943,0.007134367,293.250946,0.283566207,4.778175831,3.330007792,0.28356909,0.004701931,1077.514382,0.722143197,0.61634693
