,T_a_in,hr_air_in,m_a_in,T_d_in,xi_d_in,m_d_in,T_a_o_exp,hr_air_out,T_d_o_exp,x_a_in,x_a_o_exp,cp_d,x_d_in_equ,h_c,beta,cp_a,Le,alpha,T_a_o_sim_reg,,x_a_o_sim_reg,,T_d_o_sim_reg,xi_d_o_sim_reg,xi_d_out_cal,x_d_in_equ_cal,Re_cal,Pr_cal,Sc_cal
0,298.02,0.480462304,0.018847717,287.44,0.318302403,0.102670458,290.21,0.476947342,286.23,0.009457172,0.005772678,2.601038829,0.004514759,3.66167551,0.00380734,1020.489804,0.942430984,3.885351365,290.8523254,4%,0.006128384,6%,288.5338745,0.318107665,0.318087255,0.004514759,663.4276456,0.716941405,0.616288426
1,300.51,0.55330348,0.036282638,292.2,0.318186466,0.102669667,294.81,0.538242155,290.092,0.012683235,0.008716095,2.609102451,0.006169751,5.680216276,0.004909357,1026.456834,1.127196384,5.039242814,296.2308655,7%,0.009300877,7%,293.933197,0.317801863,0.317741007,0.006169751,1270.967647,0.719954938,0.616899925
14,289.91,0.884297977,0.044123272,283.27,0.276832509,0.10469063,286.61,0.603530524,280.947,0.010581606,0.005795774,2.758479607,0.004275705,3.959148526,0.009109614,1021.42044,0.425497734,9.304746433,285.7926941,-6%,0.006348915,10%,285.4786682,0.276340097,0.276275247,0.004275705,1587.407036,0.719162123,0.614945467
18,291.66,0.47385034,0.01810644,282.41,0.276895548,0.10468896,287.64,0.468698802,281.917,0.006289245,0.004804708,2.757219211,0.004029267,1.55420755,0.002881841,1016.447806,0.530583709,2.92924099,286.0391541,-11%,0.004961957,3%,282.9685364,0.276831239,0.276824472,0.004029267,647.1009144,0.714520561,0.614921365
19,297.19,0.421432961,0.043521853,284.42,0.323335222,0.04990655,292.08,0.474444586,281.459,0.007873233,0.006466655,2.577384703,0.003572344,3.07183834,0.002457829,1019.662627,1.225716764,2.506156748,293.6809387,8%,0.006718728,4%,286.6211243,0.323000044,0.322939095,0.003572344,1534.073345,0.715420754,0.616039854
2,298.02,0.458659311,0.032644434,284.16,0.31857181,0.102670458,287.98,0.506136823,281.766,0.009021788,0.005307947,2.594899491,0.003613558,5.912885495,0.00550546,1019.603979,1.053353923,5.613389161,289.6464539,11%,0.005736114,8%,286.1947632,0.318239033,0.318196075,0.003613558,1148.822077,0.716493991,0.616259937
20,298.77,0.35780161,0.044014235,283.13,0.317485938,0.049665817,289.96,0.47804432,278.629,0.007339638,0.005694188,2.59744153,0.00338971,4.88032091,0.003254013,1018.418456,1.472661244,3.313946726,293.4861145,21%,0.00605112,6%,286.0590515,0.31711632,0.31702365,0.00338971,1544.684634,0.714674082,0.616279736
21,299.94,0.344052832,0.050033967,284.36,0.311315043,0.0494247,291.08,0.485802995,279.533,0.007565574,0.006216465,2.622849386,0.003824955,5.573508543,0.002996479,1019.161969,1.825047935,3.053897072,295.4570313,24%,0.006560417,6%,287.0941162,0.310987622,0.310890447,0.003824955,1750.848379,0.714759124,0.616495538
22,298.6,0.478862786,0.03713896,286.42,0.303124197,0.049105,292.23,0.520543603,282.725,0.009761725,0.007169758,2.657493997,0.004607267,3.660136187,0.003607774,1022.142666,0.992536365,3.687659531,293.684082,8%,0.007704559,7%,289.2956848,0.302644521,0.30253113,0.004607267,1305.502257,0.717181386,0.616406428
23,300.03,0.413041623,0.037787536,285.09,0.29644398,0.048836667,290.81,0.52413964,280.515,0.009153851,0.006597864,2.681776039,0.004371231,4.801572719,0.003920675,1021.024204,1.199462377,4.003104066,293.6513672,16%,0.007184274,9%,288.3571472,0.295985371,0.295858859,0.004371231,1323.029994,0.716377592,0.616608776
24,301.14,0.3871465,0.038311818,286.07,0.290551235,0.048606667,291.11,0.523539862,281.292,0.009156141,0.006717373,2.706473518,0.004819455,5.510541233,0.004170002,1021.16174,1.294086942,4.258246534,294.4769897,19%,0.007364876,10%,289.3205872,0.290133119,0.289993798,0.004819455,1337.579159,0.716242581,0.616793967
3,301.31,0.504711613,0.036150007,290.94,0.318174204,0.102668875,293.69,0.519634524,288.468,0.012111886,0.007844344,2.607110941,0.005687479,6.517146377,0.005642371,1025.079678,1.126777685,5.783879523,295.4463501,9%,0.008470706,8%,292.9659119,0.317763805,0.317696828,0.005687479,1263.391114,0.719265882,0.616994208
4,299.87,0.42399412,0.045742086,290.34,0.318171012,0.102668083,292.89,0.525217549,288.366,0.009310862,0.00754197,2.606156874,0.005469785,8.322830445,0.003976074,1022.098142,2.04797166,4.063938289,296.1121521,16%,0.007873575,4%,291.6174622,0.31796065,0.317920458,0.005469785,1602.318504,0.716558842,0.616591614
5,301.71,0.429149343,0.050289608,292.12,0.318252151,0.102675208,297.38,0.404107987,289.957,0.010514344,0.00763326,2.608728246,0.006135628,4.177629628,0.007515486,1023.430211,0.543143554,7.691575452,296.4880676,-4%,0.008216986,8%,294.1956787,0.317887872,0.317803687,0.006135628,1754.383183,0.717569606,0.616966544
6,302.39,0.488868203,0.050220917,293.32,0.31828265,0.102676,300.51,0.419009418,291.612,0.01249762,0.00955754,2.610564748,0.006625304,1.650603618,0.005045548,1027.205946,0.31847617,5.182816712,298.5680542,-7%,0.010082638,5%,295.1954346,0.317896336,0.3178256,0.006625304,1750.676904,0.719531831,0.617186971
8,308.02,0.285442746,0.033954725,298.14,0.344078106,0.1048325,299.94,0.375312262,296.535,0.009994337,0.008262087,2.52617964,0.007611269,8.135519358,0.005763712,1023.694406,1.378836177,5.900279882,301.9577332,8%,0.008740169,6%,299.3548889,0.343931437,0.343885163,0.007611269,1165.576689,0.716282032,0.617934674
