,T_a_in,hr_air_in,m_a_in,T_d_in,xi_d_in,m_d_in,T_a_o_exp,hr_air_out,T_d_o_exp,x_a_in,x_a_o_exp,Nu,Sh,T_a_o_sim_new,x_a_o_sim_new,T_d_o_sim_new,xi_d_o_sim_new,xi_d_out,x_d_in_equ,Re,Pr,Sc,epsilon_w,epsilon_T,epsilon_h
0,298.02,48.26,0.01884771701880699,287.44,0.3183024030278953,0.1026704583333333,290.21,47.9,286.23,0.009457171971508029,0.00577267773482495,1.4078712716556658,1.8390437042797791,290.33477783203125,0.005275331087763961,288.7164001464844,0.31805893778800964,0.31808725498410007,0.004514759475327911,445.7952962436765,0.7169414045426978,0.6162884264872308,0.7454849710603361,0.738185255198489,0.742919723453906
1,300.51,55.58,0.03628263762959907,292.2,0.3181864659218954,0.1026696666666667,294.81,54.06,290.092,0.012683234700939659,0.008716095312794856,2.817339282942823,2.359467334737274,294.7644348144531,0.00805079675661649,294.536865234375,0.31766581535339355,0.3177410072404622,0.00616975059429147,854.036461283337,0.7199549381887869,0.6168999252110197,0.6090656433928532,0.6859205776173269,0.6360755642902676
14,289.91,88.81,0.04412327207308642,283.27,0.2768325089297027,0.10469063,286.61,60.61,280.947,0.0105816062265688,0.00579577386356011,2.792309837002405,6.897766182831769,285.9095153808594,0.004797548276932061,286.1069641113281,0.27614009380340576,0.27627524702378425,0.004275704511964034,1066.6703361778277,0.7191621225078327,0.6149454670107908,0.7589449660981039,0.4969879518072274,0.6816113450216573
17,290.31,52.2,0.018728295065587017,276.01,0.2779342729331796,0.10468896,285.55,39.03,275.225,0.0063365587606111174,0.003469110466005434,0.1364454947586533,2.466374680684982,288.46905517578125,0.002873252543940297,276.67642211914057,0.27775681018829346,0.27779177376343683,0.0025515916097526756,451.3943996330551,0.7147497957858633,0.6146707046783862,0.7575886871185494,0.332867132867132,0.5025553423111934
18,291.66,47.59,0.018106440368075218,282.41,0.2768955483958971,0.10468896,287.64,47.07,281.9170000000001,0.006289244881936423,0.004804708075918613,0.5401563647129389,1.4902046210822526,287.67352294921875,0.004505736868981315,283.329345703125,0.2767891585826874,0.27682447163264184,0.0040292671497592384,434.82442393638996,0.7145205614618486,0.6149213649370348,0.6568811651907996,0.43459459459459876,0.5192923181976321
19,297.19,42.33,0.04352185290633925,284.42,0.32333522178388396,0.04990655,292.08,47.65,281.459,0.007873232558685418,0.006466655004343842,1.3756812770617364,0.8590607031386592,291.93572998046875,0.006470580141691807,287.4063415527344,0.3229329884052277,0.3229390950664443,0.003572344217995625,1030.8323533444377,0.7154207540394367,0.6160398541860984,0.3270434949529482,0.40015661707126243,0.36782652804694926
2,298.02,46.07,0.0326444338042316,284.16,0.3185718102858025,0.1026704583333334,287.98,50.83,281.76599999999996,0.009021787833346322,0.005307947398485102,3.164959827381452,3.719743665972063,287.13067626953125,0.004310452103947422,286.9951171875,0.3180748522281647,0.31819607524530225,0.0036135578940508736,771.9598081228667,0.716493990775351,0.6162599371560362,0.6867016522128563,0.724386724386724,0.7068836363266934
20,298.77,35.94,0.04401423529739908,283.13,0.3174859375692891,0.04966581666666667,289.96,48.01,278.629,0.007339638126907405,0.005694187729125308,2.389811728310069,1.2806080495076255,289.8718566894531,0.005695912487520731,287.56219482421875,0.31702059507369995,0.3170236501902733,0.0033897103575257913,1037.962690737077,0.7146740820200937,0.616279735848421,0.4165773385875618,0.5632992327365736,0.5077899311328001
21,299.94,34.56,0.05003396701311252,284.36,0.3113150427565831,0.049424699999999995,291.08,48.79,279.533,0.007565574332155169,0.006216464756550634,2.766784716109286,1.2731593574085731,291.0746154785156,0.006220864150860203,289.0746154785156,0.310884952545166,0.31089044714781844,0.0038249548528580942,1176.4960004386255,0.7147591239135119,0.616495538465625,0.3606647463264708,0.5686777920410797,0.4919423755992869
22,298.6,48.1,0.03713896023325835,286.42,0.3031241969009019,0.049105,292.23,52.28,282.725,0.009761724613612216,0.007169758011212175,1.7628289203843592,1.2539168347172227,292.2234191894531,0.007329378971174281,289.9486999511719,0.3025633692741394,0.3025311302595493,0.004607266847446605,877.2422574286843,0.7171813861393759,0.6164064283083509,0.5028592181730491,0.5229885057471265,0.5138344899241233
23,300.03,41.49,0.037787535933553114,285.09,0.2964439801927283,0.04883666666666666,290.81,52.64,280.515,0.009153851442437477,0.006597864416134693,2.320168625022029,1.4919748385204867,290.951904296875,0.006722864122371635,289.4260559082031,0.2958853244781494,0.2958588590613229,0.004371231094867495,889.0201544586901,0.7163775922871556,0.6166087756056886,0.5344323489112959,0.6171352074966514,0.5816908693818333
24,301.14,38.89,0.03831181833736812,286.07,0.2905512351536984,0.04860666666666666,291.11,52.58,281.29200000000003,0.009156141439782156,0.0067173725058932605,2.9661292315979395,1.9389754045371137,290.968017578125,0.006723654221981667,290.7482604980469,0.2899944484233856,0.2899937975155677,0.004819454816195828,898.7965776109232,0.7162425813141441,0.6167939673549306,0.5623576581773152,0.6655607166556057,0.6236245507515239
3,301.31,50.7,0.036150006626517565,290.94,0.3181742036675834,0.102668875,293.69,52.19,288.468,0.01211188585842418,0.007844343819943563,2.9660702293270926,2.9128018529379123,293.79193115234375,0.0071354939483479875,293.1601257324219,0.3177737295627594,0.3176968280154668,0.005687479325059358,848.9453514593694,0.7192658821526389,0.6169942078050927,0.6642702351287016,0.7348119575699134,0.6930280801819557
4,299.87,42.59,0.04574208561297773,290.34,0.3181710115000457,0.1026680833333333,292.89,52.75,288.366,0.009310861527740048,0.007541970144532506,3.5750190170921785,1.4572409921456393,293.0817565917969,0.007531930460625997,292.2783203125,0.3179134726524353,0.3179204581868605,0.005469785450860423,1076.690211887289,0.7165588416531692,0.6165916135347294,0.4605197470195738,0.7324239244491078,0.5971429893878375
5,301.71,43.11,0.05028960846327648,292.12,0.3182521514521798,0.1026752083333334,297.38,40.59,289.957,0.01051434372466975,0.007633259530335871,1.7783023352494334,3.7292451516433385,297.3782958984375,0.007343525895680744,294.42236328125,0.3177555203437805,0.31780368749618987,0.006135628170848317,1178.8712390448597,0.717569605914577,0.6169665435811936,0.657974732297802,0.45151199165797656,0.5623205176711896
6,302.39,49.11,0.050220917208498465,293.32,0.3182826501685304,0.102676,300.51,42.09,291.612,0.01249762013587862,0.009557539994539605,0.6185240434376015,2.118069657040273,300.6056213378906,0.00916227647447007,295.2245788574219,0.3177579343318939,0.31782560013697464,0.0066253043077434065,1176.3807770138321,0.71953183144725,0.6171869710184725,0.5006679183113101,0.20727673649393571,0.3892354029483547
8,308.02,28.68,0.03395472462661615,298.14,0.344078105710258,0.10483250000000001,299.94,37.7,296.535,0.009994336655216502,0.008262087159374218,3.643719117040102,2.9587014951781536,299.8870544433594,0.008270492744698373,299.74853515625,0.3438882827758789,0.34388516309890405,0.007611268855382431,783.2181986497563,0.7162820324830165,0.6179346736010993,0.7268989560275613,0.817813765182185,0.7841361400330323
