,T_a_in,x_a_in,m_a_in,T_d_in,xi_d_in,m_d_in,T_a_o_exp,x_a_o_exp,T_d_o_exp,xi_d_o_exp,T_d_o_sim,T_a_o_sim,x_a_o_sim,Nu,Sh,T_a_o_sim_new,x_a_o_sim_new,T_d_o_sim_new,xi_d_o_sim_new,xi_d_out,x_d_in_equ,Re,Pr,Sc,epsilon_w,epsilon_T,epsilon_h
1,298.75,0.0162,1.85,288.05,0.23,2.61,292.35,0.0091,294.45,0.2288,20.19,291.89,9.29,3.280069403,3.175383483,292.4217834,0.009109922,293.3018799,0.228864655,0.228848306,0.006410545,996.6987537,0.723821824,0.66581762,0.72527022,0.598130841,0.687493575
10,297.15,0.0152,1.94,289.95,0.2961,2.82,293.25,0.0075,296.25,0.2945,22.09,292.94,7.62,4.676252953,3.513263978,293.0543213,0.007320882,295.0427551,0.294639468,0.294539775,0.005028263,1048.989749,0.722987233,0.665864685,0.756999518,0.541666667,0.710070711
11,297.35,0.016,1.98,290.85,0.3007,2.85,294.05,0.0077,297.05,0.299,23.22,293.8,7.88,5.023987834,3.700249284,293.9727173,0.007548602,296.4988708,0.298972219,0.29897601,0.00517188,1070.471776,0.723793148,0.665906367,0.766522744,0.507692308,0.716902854
12,298.25,0.0152,1.94,291.25,0.3052,2.9,294.45,0.0075,297.25,0.3036,23.27,294.2,7.61,4.187705855,3.448255509,294.4741821,0.007429455,296.4399109,0.303645223,0.303635961,0.005146258,1046.027445,0.722846252,0.665786833,0.765884018,0.542857143,0.717880642
13,298.35,0.0143,1.95,290.95,0.3182,2.85,294.25,0.0069,297.05,0.3166,23.08,293.94,7.02,4.23503792,3.379567946,294.275116,0.006815915,296.25354,0.316601634,0.316597019,0.004590221,1050.698532,0.721899643,0.665718669,0.762118239,0.554054054,0.714169759
14,299.05,0.0159,1.99,292.35,0.3215,2.86,295.75,0.0077,298.95,0.3196,24.97,295.39,7.68,4.670413905,3.218348744,295.6560669,0.007656364,298.0450745,0.319694936,0.319676058,0.004911662,1071.149531,0.723471799,0.665775632,0.746245701,0.492537313,0.697100591
15,298.75,0.0143,1.93,291.55,0.3312,2.88,294.75,0.0066,297.65,0.3295,23.72,294.53,6.84,4.440636576,3.425218586,294.7939758,0.006497056,296.9878845,0.329501301,0.329499758,0.004321746,1038.855687,0.72184892,0.665690808,0.771678109,0.555555556,0.723932812
2,301.75,0.0202,1.87,291.35,0.24,2.63,296.05,0.0116,298.35,0.2385,24.45,295.41,11.41,3.215922967,2.755334136,296.0675354,0.011585785,297.3303528,0.238567725,0.23854136,0.00759668,1001.761856,0.727613738,0.665827935,0.682359888,0.548076923,0.650017404
3,300.65,0.0181,1.92,290.85,0.255,2.65,295.05,0.0099,297.45,0.2535,23.69,294.59,10.08,4.170881923,3.286357145,294.8753052,0.009914725,296.8375549,0.253523231,0.253493959,0.006824431,1030.361472,0.725559828,0.665792867,0.727236011,0.571428571,0.687883814
4,303.15,0.0177,1.89,292.05,0.26,2.66,296.65,0.0097,298.95,0.2585,24.74,296.1,10.22,3.74240201,3.860091498,296.4689331,0.009696918,298.0722351,0.258555323,0.258530458,0.007183032,1007.69959,0.724833054,0.66556743,0.760675488,0.585585586,0.709571397
5,300.75,0.0164,1.92,290.45,0.27,2.67,294.75,0.0087,296.85,0.2685,23.1,294.19,9.03,4.015265407,3.523713523,294.5567932,0.008686489,296.3065491,0.268544376,0.268513221,0.00612043,1029.256643,0.72377762,0.665680021,0.749058564,0.582524272,0.702268444
6,294.85,0.0108,2.04,282.65,0.2513,2.93,287.25,0.0057,287.75,0.2504,14.13,286.42,5.81,3.392892831,3.548455173,287.2374878,0.005703812,287.138916,0.250421196,0.250410828,0.004016878,1107.370581,0.718730525,0.665687949,0.751866184,0.62295082,0.698810627
7,295.85,0.0153,1.97,285.75,0.26,2.76,289.65,0.0077,291.75,0.2586,18.38,289.32,7.75,4.08128271,3.119506791,289.822998,0.007600953,291.4753418,0.258600324,0.258597204,0.004736817,1068.844723,0.723259736,0.665962413,0.719480113,0.613861386,0.691196671
8,297.85,0.0153,1.96,288.65,0.27,2.77,292.35,0.008,294.75,0.2686,20.95,292.02,8.07,4.500320813,3.280821123,292.2306824,0.008013566,294.1268005,0.268616199,0.268612524,0.005435326,1057.947246,0.723001218,0.665822156,0.740014309,0.597826087,0.702176588
9,296.45,0.0143,1.99,287.85,0.285,2.8,291.25,0.0072,293.45,0.2836,20.1,291.02,7.21,4.825044886,3.188656677,291.2028809,0.007214486,293.184021,0.283592016,0.28356909,0.004701931,1077.514382,0.722143197,0.665848792,0.739732122,0.604651163,0.704857807
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T_a_in,x_a_in,m_a_in,T_d_in,xi_d_in,m_d_in,x_d_in_equ,Re,Pr,Sc,Nu,Sh,,,,,,,,,,,,,,,
1,298.75,0.0162,1.85,288.05,0.23,2.61,0.006410545,996.6987537,0.723821824,0.66581762,3.280069403,3.175383483,,,,,,,,,,,,,,,
2,301.75,0.0202,1.87,291.35,0.24,2.63,0.00759668,1001.761856,0.727613738,0.665827935,3.215922967,2.755334136,,,,,,,,,,,,,,,
3,300.65,0.0181,1.92,290.85,0.255,2.65,0.006824431,1030.361472,0.725559828,0.665792867,4.170881923,3.286357145,,,,,,,,,,,,,,,
4,303.15,0.0177,1.89,292.05,0.26,2.66,0.007183032,1007.69959,0.724833054,0.66556743,3.74240201,3.860091498,,,,,,,,,,,,,,,
5,300.75,0.0164,1.92,290.45,0.27,2.67,0.00612043,1029.256643,0.72377762,0.665680021,4.015265407,3.523713523,,,,,,,,,,,,,,,
6,294.85,0.0108,2.04,282.65,0.2513,2.93,0.004016878,1107.370581,0.718730525,0.665687949,3.392892831,3.548455173,,,,,,,,,,,,,,,
7,295.85,0.0153,1.97,285.75,0.26,2.76,0.004736817,1068.844723,0.723259736,0.665962413,4.08128271,3.119506791,,,,,,,,,,,,,,,
8,297.85,0.0153,1.96,288.65,0.27,2.77,0.005435326,1057.947246,0.723001218,0.665822156,4.500320813,3.280821123,,,,,,,,,,,,,,,
9,296.45,0.0143,1.99,287.85,0.285,2.8,0.004701931,1077.514382,0.722143197,0.665848792,4.825044886,3.188656677,,,,,,,,,,,,,,,
10,297.15,0.0152,1.94,289.95,0.2961,2.82,0.005028263,1048.989749,0.722987233,0.665864685,4.676252953,3.513263978,,,,,,,,,,,,,,,
11,297.35,0.016,1.98,290.85,0.3007,2.85,0.00517188,1070.471776,0.723793148,0.665906367,5.023987834,3.700249284,,,,,,,,,,,,,,,
12,298.25,0.0152,1.94,291.25,0.3052,2.9,0.005146258,1046.027445,0.722846252,0.665786833,4.187705855,3.448255509,,,,,,,,,,,,,,,
13,298.35,0.0143,1.95,290.95,0.3182,2.85,0.004590221,1050.698532,0.721899643,0.665718669,4.23503792,3.379567946,,,,,,,,,,,,,,,
14,299.05,0.0159,1.99,292.35,0.3215,2.86,0.004911662,1071.149531,0.723471799,0.665775632,4.670413905,3.218348744,,,,,,,,,,,,,,,
15,298.75,0.0143,1.93,291.55,0.3312,2.88,0.004321746,1038.855687,0.72184892,0.665690808,4.440636576,3.425218586,,,,,,,,,,,,,,,
